Frame,X,Y
1319,559,751
1320,555,745
1321,556,738
1322,557,732
1323,557,726
1324,557,721
1325,557,717
1326,557,713
1327,556,709
1328,555,706
1329,554,704
1330,553,702
1331,553,701
1332,553,699
1333,553,699
1334,553,700
1335,553,702
1336,554,702
1337,555,704
1338,555,706
1339,556,708
1340,556,711
1341,555,713
1342,555,716
1343,554,720
1344,553,724
1345,551,728
1346,550,733
1347,550,736
1348,555,737
1349,560,737
1350,564,739
1351,568,742
1352,571,745
1353,574,749
1354,576,753
1355,579,758
1356,579,762
1357,575,763
1358,570,764
1359,564,765
1360,558,767
1361,552,768
1362,546,771
1363,545,771
1364,549,769
1365,555,768
1366,560,767
1367,565,766
1368,569,766
1369,574,765
1370,577,765
1371,577,762
1372,575,760
1373,572,759
1374,569,758
1375,567,757
1376,565,756
1377,561,756
1378,557,757
1379,554,757
1380,551,760
1381,550,765
1382,549,769
1383,547,774
1384,549,775
1385,554,773
1386,557,771
1387,561,770
1388,564,768
1389,566,765
1390,567,763
1391,567,762
1392,568,762
1393,569,762
1394,571,761
1395,570,761
1396,569,762
1397,568,762
1398,567,762
1399,568,763
1400,568,763
1401,568,765
1402,567,766
1403,565,766
1404,563,767
1405,561,769
1406,561,773
1407,559,775
1408,558,779
1409,557,780
1410,556,777
1411,555,773
1412,553,771
1413,551,771
1414,549,770
1415,546,771
1416,548,770
1417,550,771
1418,551,772
1419,551,775
1420,552,778
1421,555,778
1422,557,779
1423,559,780
1424,561,779
1425,563,779
1426,563,778
1427,562,778
1428,562,779
1429,562,779
1430,561,779
1431,561,779
1432,561,780
1433,561,779
1434,562,780
1435,563,779
1436,563,778
1437,563,779
1438,561,780
1439,561,780
1440,561,780
1441,561,780
1442,561,780
1443,562,780
1444,562,779
1445,563,779
1446,561,780
1447,561,780
1448,562,779
1449,563,779
1450,562,780
1451,562,780
1452,562,779
1453,562,779
1454,562,780
1455,562,779
1456,562,779
1457,561,779
1458,562,779
1459,562,779
1460,562,780
1461,1150,631
1462,1141,603
1463,1127,580
1464,1109,559
1465,1092,539
1466,1075,519
1467,1059,500
1468,1044,489
1469,1030,481
1470,1016,475
1471,1006,474
1472,995,472
1473,985,468
1474,976,463
1475,968,460
1476,962,457
1477,959,458
1478,956,460
1479,951,462
1480,947,466
1481,941,464
1482,937,468
1483,933,473
1484,928,476
1485,923,478
1486,918,479
1487,913,480
1488,908,480
1489,906,481
1490,907,485
1491,910,494
1492,914,505
1493,921,517
1494,927,530
1495,934,542
1496,941,555
1497,949,566
1498,954,578
1499,960,591
1500,968,605
1501,978,620
1502,988,636
1503,1000,653
1504,1010,672
1505,1021,691
1506,1031,710
1507,1038,726
1508,1042,741
1509,1044,754
1510,1045,763
1511,1045,768
1512,1048,771
1513,1049,771
1514,1051,769
1515,1053,770
1516,1051,772
1517,1051,769
1518,1051,768
1519,1051,769
1520,1052,771
1521,1052,770
1522,1051,769
1523,1052,771
1524,1052,771
1525,1051,769
1526,1051,771
1527,1052,770
1528,1051,771
1529,1052,771
1530,1051,771
1531,1051,770
1532,1052,771
1533,1051,770
1534,1051,771
1535,1052,771
1536,1051,771
1537,1051,771
1538,1051,771
1539,1051,771
1540,1052,771
1541,1052,771
1542,1052,771
1543,1051,771
1544,1052,771
1545,1052,771
1546,1273,537
1547,1243,513
1548,1215,488
1549,1188,464
1550,1162,441
1551,1138,419
1552,1116,400
1553,1098,380
1554,1082,359
1555,1070,337
1556,1060,315
1557,1050,293
1558,1041,272
1559,1032,250
1560,1024,232
1561,1015,214
1562,1006,194
1563,998,175
1564,990,155
1565,983,134
1566,977,112
1567,972,97
1568,970,101
1569,968,115
1570,966,127
1571,965,138
1572,963,148
1573,960,151
1574,957,148
1575,956,138
1576,955,129
1577,953,118
1578,952,107
1579,951,102
1580,950,105
1581,949,114
1582,947,123
1583,946,132
1584,946,140
1585,946,146
1586,947,145
1587,949,138
1588,953,131
1589,955,123
1590,958,115
1591,961,107
1592,963,107
1593,965,113
1594,968,120
1595,971,127
1596,974,133
1597,977,138
1598,980,144
1599,984,148
1600,988,151
1601,992,149
1602,998,145
1603,1004,143
1604,1010,140
1605,1017,137
1606,1024,134
1607,1031,130
1608,1038,125
1609,1045,119
1610,1052,113
1611,1059,107
1612,1067,107
1613,1074,112
1614,1081,118
1615,1089,124
1616,1097,129
1617,1105,133
1618,1114,137
1619,1123,139
1620,1132,142
1621,1141,144
1622,1150,145
1623,1159,146
1624,1169,147
1625,1179,147
1626,1190,146
1627,1201,144
1628,1211,142
1629,1222,139
1630,1234,136
1631,1245,131
1632,1257,127
1633,1269,121
1634,1281,115
1635,1294,110
1636,1307,104
1637,1320,105
1638,1334,110
1639,1348,115
1640,1362,119
1641,1377,122
1642,1392,119
1643,1407,115
1644,1423,112
1645,1440,108
1646,1457,103
1647,1475,104
1648,1493,107
1649,1512,109
1650,1531,111
1651,1550,113
1652,1570,116
1653,1591,118
1654,1608,120
1655,1613,122
1656,1602,125
1657,1586,127
1658,1569,129
1659,1553,131
1660,1539,132
1661,1524,134
1662,1511,135
1663,1499,136
1664,1487,137
